fast_id,status,region_code,region_name,unit_code,unit_name,unit_type,mapped_place,latitude,longitude,recipient,title,assistance_listing,program,doi_decision_date,project_abstract,project_impact,review_notes,fed_funding_this_action
1995,Disapproved,PWR,Pacific West,MOJN,Mojave Desert Inventory and Monitoring Network,"office, program, or network","Boulder City, Nevada",35.9766,-114.8386,Nevada System of Higher Ed - Desert Research Institute,Mojave Desert Network Weather Stations Operations Project,15.945 Cooperative Research and Training Programs (CESU),Research and training (CESU),2026-08-07,"This agreement supports continued operation and maintenance of long-term weather stations that provide essential, real-time climate data for Mojave Desert parks. The Desert Research Institute will service stations, resolve data-delivery issues, manage data storage and archiving, and offer training on web-based climate tools. The network supplies site-specific information used by managers, emergency responders, researchers, and visitors to understand conditions such as flash floods, high winds, wildland fire risk, drought, and other extreme events. Deliverables include sustained station operations, reliable public data products, and reports summarizing annual maintenance and data-management activities.","Without funding, weather stations may fail or fall into disrepair, creating gaps in climate and weather data needed for public safety, emergency operations, and park management. Park closures, warnings, and real-time updates would be less accurate, putting staff, visitors, and surrounding communities at greater risk during extreme weather events.","05/12/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1995 titled 'Mojave Desert Network Weather Stations Operations Project,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",68136.00
2517,Disapproved,PWR,Pacific West,MOJN,Mojave Desert Inventory and Monitoring Network,"office, program, or network","Boulder City, Nevada",35.9766,-114.8386,The Great Basin Institute,"Research Associates to Support Mojave Desert Network (Data, Bat, Ecological Monitoring)",15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project aims to enhance the monitoring of natural resources in national parks within the Mojave and Great Basin Deserts of Nevada, Arizona, and California, by collecting long-term ecological data on wildlife, vegetation, and hydrology. Three specialized positions will be filled: a Bat Specialist will conduct bat surveys and manage data, while two Ecological Technicians will monitor vegetation and desert springs. The project will provide valuable data for park management and support conservation efforts, benefiting park ecosystems and their visitors.","Without funding, critical ecological data collection and management will cease, hindering effective conservation efforts and jeopardizing the health of park ecosystems.","06/03/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2517 titled 'Research Associates to Support Mojave Desert Network (Data, Bat, Ecological Monitoring),' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",345372.17
2014,Disapproved,PWR,Pacific West,MORA,Mount Rainier National Park,park unit,Mount Rainier National Park,46.8547,-121.7064,THE GREAT BASIN INSTITUTE,Accessibility Specialist at Mount Rainer National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project places one intern at Mount Rainier National Park for 14 weeks and a second intern at Mount Rainier for 24 weeks, to gather and analyze trail and facility data to identify accessibility enhancements necessary to meet the Architectural Barriers Act Accessibility Standards (ABAAS) requirements and to improve access for all. The intern will identify needs for improvements in facilities, services, and park practices in order to meet compliance with ADA standards; assist with reviews of accessibility services and facilities and interviews with employees; and gather trail accessibility information using the park High Efficiency Trail Assessment Process System (HETAP). Tasks include using trail assessment tools, reviewing facilities, photographing accessible areas, and organizing data for park staff. Deliverables include a comprehensive accessibility report, updated trail information, and a photo/video library. Beneficiaries are visitors with disabilities, and the outcome will be improved compliance and visitor experience.","Without funding, accessibility gaps will remain unidentified, limiting safe and inclusive access for all visitors, including visitors with disabilities.","05/07/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2014 titled 'Accessibility Specialist at Mount Rainer National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",38053.96
2470,Disapproved,PWR,Pacific West,MORA,Mount Rainier National Park,park unit,Mount Rainier National Park,46.8547,-121.7064,THE GREAT BASIN INSTITUTE,Mount Rainer Historic Preservation Specialists,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,This project will fund historic preservation specialists to completing required Historic Structures and Culture Landscape Inventories and Reports within the Mount Rainier National Historic Landmark District as part of high priority facility repair and rehabilitation and construction within the park. This work will support the preservation of historic and culturally significant sites and improved visitor facilities and services. The work products are critical to completing compliance for many park operations and projects.,"Without this partner project support, critical documentation required to support preservation of nationally significant elements of the Mount Rainier National Landmark District will not be completed. This could delay work on many priority projects in the park.","06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2470 titled 'Mount Rainer Historic Preservation Specialists,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",128413.17
3108,Disapproved,PWR,Pacific West,MORA,Mount Rainier National Park,park unit,Mount Rainier National Park,46.8547,-121.7064,The Great Basin Institute,Mount Rainier National Park Archaeology,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project provides one partner position to support high priority facilities projects at Mount Rainier National Park. The park is planning and implementing a wastewater treatment facility replacement to improve critical visitor services in the most popular area of the park as well as large-scale road and bridge construction and rehabilitation projects along high use corridors. The archaeologist for this project will add essential capacity at a reasonable cost to ensure the park fulfills obligations agreed upon through consultation, compliance with cultural resource laws including Section 106 of the National Historic Preservation Act and working with Tribal partners to protect significant cultural resources within the project areas.","Without funding, the park may miss critical timelines for essential projects serving over 1.5 million annual visitors. These areas contain culturally significant resources for the public and associated Tribes. Failure to adhere to cultural resource management standards may lead to delays and project cost increases.","07/01/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 3108 titled 'Mount Rainier National Park Archaeology,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",111350.01
2121,Disapproved,MWR,Midwest,MWAC,Midwest Archeological Center,"office, program, or network","Lincoln, Nebraska",40.8138,-96.6996,The Great Basin Institute,Provide Archeological and Museum Support to Midwest Region Parks,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project will provide increased capacity for the National Park Service Midwest Archeological Center to deliver critical cultural resource support to multiple park units in the Midwest Region. Cultural resource and support specialists will work alongside Center staff to conduct archeological field investigations, complete compliance reports and documentation, complete archival collections management tasks, and provide key administrative support necessary for park infrastructure and public access projects. This collaboration will allow the Center to better serve parks in the region by increasing capacity to complete field surveys and undertake management of complex park archeological archives, tasks that require qualified professionals, to meet compliance deadlines.","If not awarded, compliance for critical park infrastructure and public access projects will be significantly delayed, and legal mandates to curate and preserve records in perpetuity will not be fulfilled.","06/01/2026: NPS review complete. Ready for DOI review. 06/03/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2121 titled 'Provide Archeological and Museum Support to Midwest Region Parks,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",388834.54
2058,Disapproved,NER,Northeast,NERI,New River Gorge National Park and Preserve,park unit,New River Gorge National Park and Preserve,37.897,-81.0429,"National Experienced Workforce Solutions, Inc.",NERI ESP- IT Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"Recipient will provide an Experienced Services Program enrollee to serve as an IT specialist on project to upgrade the phone systems at New River Gorge Park and Preserve. Enrollee will also provide visitor programming on an as needed basis. IT support will keep the park’s public safety radio system reliable, retire on-premises servers as services move to DOI-managed virtual machines, and continue standardized computer reimaging. This work prevents outages, strengthens cybersecurity, and keeps staff and first responders connected.","Not funding this work risks failing radios during incidents, unmanaged legacy servers, and inconsistent, insecure computer builds. These failures increase cybersecurity exposure, hinder staff productivity, and degrade emergency response, directly affecting visitor and employee safety.","05/19/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2058 titled 'NERI ESP- IT Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",59391.00
2346,Disapproved,NER,Northeast,NERO,Northeast Regional Office,"office, program, or network","Philadelphia, Pennsylvania",39.9517,-75.161,Student Conservation Association,Book and Paper Conservation Internship,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project supports a twelve-month internship based in Lowell, Massachusetts, where the intern will work closely with National Park Service conservation professionals on the stewardship and preservation of cultural resources. Throughout the internship, they will help plan and carry out a conservation survey of historic artifacts from the Statue of Liberty National Monument and Ellis Island, gaining hands-on experience with professional preservation practices. The intern will also assist with the conservation treatment of historic works on paper at Saugus Ironworks National Historic Site, contributing to the long-term care of irreplaceable cultural resources. Together, these efforts will strengthen documentation, improve preservation, and enhance readiness for future public access. As a result, more visitors will be able to learn from and engage with these significant historic materials.","If this project is not awarded, then historic artifacts and materials will continue to degrade and will not be available for the public.","06/16/2026: NPS review complete. Ready for DOI review. 06/17/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2346 titled 'Book and Paper Conservation Internship,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",84420.53
2407,Disapproved,NER,Northeast,NERO,Northeast Regional Office,"office, program, or network","Philadelphia, Pennsylvania",39.9517,-75.161,"National Experienced Workforce Solutions, Inc.",Experienced Services Program support for Northeast Region Preservation Assistance,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project provides an Experienced Worker to support core National Park Service preservation responsibilities by reviewing Heritage Documentation Program (Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscapes Survey) documentation and coordinating National Historic Landmark (NHL) plaque production. These are required functions of the Heritage Documentation Program that support Section 106 mitigation (a requirement under the National Historic Preservation Act when historic properties are adversely affected), improve operational efficiency, and provide timely service to parks and partners, implementing Secretary's Order (SO) 3434 (Coordination with Gateway Communities) and SO 3441 (Gold Standard Science). The project advances stewardship of nationally significant historic resources while supporting Department of the Interior facilities in multiple parks (ex: Paterson Great Falls NHP and New River Gorge NP), Gateway Communities, and Department of War facilities (ex: Watervliet Arsenal, Newport Naval Shipyard).","If not awarded, opportunities to identify and document nationally significant resources in communities throughout the Northeast may be delayed or missed. This would reduce coordination among community, state, and federal partners. Additionally, completed mitigation measures related to compliance will be delayed resulting in inefficiencies.","6/16/2026: Project abstract needs work. Tasks, activities, and intended outcomes should be in narrative format rather than bullet points. 6/30/2026: NPS review complete. Ready for DOI review. 07/01/2026: Submitted for DOI review. 07/02/2026: Abstract updated. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2407 titled 'Experienced Services Program support for Northeast Region Preservation Assistance,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",100000.00
1352,Disapproved,WASO,National (WASO),NRSS,Natural Resource Stewardship and Science directorate,"office, program, or network","NPS headquarters, Washington, DC",38.8939,-77.0427,Colorado State University,Publications Process Improvement and Editorial Support for Science Reporting,15.945 Cooperative Research and Training Programs (CESU),Research and training (CESU),2026-08-07,"This project will support all parks in the National Park Service and fulfills objectives of the May 2025 Executive Order Restoring Gold Standard Science by ensuring transparency and rigor in science reports. By standing up a professional editorial team, this project will improve the publication process, introduce workflow efficiencies, and support hundreds of National Park Service authors each year in production of clear, accurate, and accessible reports archived in a manner that meets requirements of the Federal Records Act. Collectively, the diversity of studies in technical reports annually provides information about virtually all parks within the National Park Service, across the entire nation. This work ensures timely, high-quality reports are available to inform park management decisions, as required under federal mandates such as Omnibus Management Act of 1998.","Without funding, critical technical editing capacity for report publication would be unavailable, slowing workflows, reducing consistency, and limiting the development of new content. Park managers will lose timely access to clear, reliable information needed for daily operations and long-term resource decisions, weakening the agency’s ability to manage park resources effectively.","03/30/2026: Abstract updates needed. Clarify who (NPS?) is writing these reports, and who is the intended audience (Park managers, other researchers, the public, all of the above?). 06/03/2026: NPS review complete. Ready for DOI review. 06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1352 titled 'Publications Process Improvement and Editorial Support for Science Reporting,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",600000.00
1771,Disapproved,WASO,National (WASO),NRSS,Natural Resource Stewardship and Science directorate,"office, program, or network","NPS headquarters, Washington, DC",38.8939,-77.0427,Desert Research Institute,Inform management of water resources in arid park ecosystems,15.945 Cooperative Research and Training Programs (CESU),Research and training (CESU),2026-08-07,"This project will provide vulnerability information and resource management recommendations for surface and groundwater resources to arid parks where water supply is changing. In addition to detailed park assessments, the project will provide broad scale vulnerability information and web tooling for ~57 NPS units in the Southwestern US. In support of S.O. 3426 ‘Ensuring National Parks Are Open and Accessible’ and proposed DOI FY26-30 Strategic Goal 3: 'Enjoy Our Natural Resources While Ensuring They Remain Sound and Sustainable,' this project meets critical needs for information to conserve and restore aquatic ecosystems with diminishing water flows, maintaining fundamental resources and supporting visitor access and experience.","If not approved, information to assist parks and public lands in making effective water resource management decisions will not be provided, potentially impacting fundamental park resources and impairing visitor experience and enjoyment.","05/12/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1771 titled 'Inform management of water resources in arid park ecosystems,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",349800.00
2286,Disapproved,WASO,National (WASO),NRSS,Natural Resource Stewardship and Science directorate,"office, program, or network","NPS headquarters, Washington, DC",38.8939,-77.0427,Northern Rockies Conservation Cooperative,Natural Resources Information Management,"15.954 NPS Conservation, Protection, Outreach & Education","Conservation, outreach, and education",2026-08-07,"This project will make NPS generated natural resource information (e.g. reports, publications, data) readily available to managers and the public to facilitate collaborative decision making within the parks. In coordination with park managers and specialists, the recipient will collect, compile, oversee, and coordinate generative data and information in support of the NPS mission to preserve and protect natural and cultural resources. These results enable land managers, the public, and neighboring communities to use these data to make informed decisions about biological and physical resources such as critical water, vegetation (forests, alpine, and grass/shrub land), wildlife, soil, and related-resources. It is important to disseminate these scientific results effectively (pursuant of Executive Order 14303 and Secretary Order 3441) and to facilitate collaborative decision making in conservation management and park operations.","Failure to fund this agreement will limit informed decision-making by land managers required by NPS Omnibus Management Act of 1998, NPS Organic Act of 1916, and reduce our ability to comply efficiently with EO 14303 and SO 3441. This will reduce conservation of natural areas beloved by the public.","06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2286 titled 'Natural Resources Information Management ,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",373788.00
2457,Disapproved,WASO,National (WASO),NRSS,Natural Resource Stewardship and Science directorate,"office, program, or network","NPS headquarters, Washington, DC",38.8939,-77.0427,Northern Rockies Conservation Cooperative,Delivering and Visualizing Natural Resource Data,"15.954 NPS Conservation, Protection, Outreach & Education","Conservation, outreach, and education",2026-08-07,"This project will enhance science communication for over 150 parks by using a data visualizer that delivers weather information in graphical, tabular, and statistical formats for quick reference and reporting. Parks need real-time, detailed weather, hydrological, and modeled water data to improve management and visitor experience. The project supports efforts to use current data to understand and address impacts like floods, droughts, and fires on park resources and operations. All work aligns with statutory requirements from the National Park Service Omnibus Management Act of 1998 and the Executive Order for Gold Standard Science.","Failure to fund this agreement will result in the loss of information needed for decision-making by land managers and communities in over 150 parks. This work protects public health and without the data, managers could unknowingly take actions that lead to resource impairment, in violation of the NPS Organic Act.","6/16/2026: NPS review complete. Ready for DOI review. 06/17/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2457 titled 'Delivering and Visualizing Natural Resource Data,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",100450.00
2820,Disapproved,IMR,Intermountain,NTIR,"National Trails Office, Intermountain Region","office, program, or network","Santa Fe, New Mexico",35.6691,-105.9266,"National Experienced Workforce Solutions, Inc.",National Trails Office Cultural Resources Experienced Services Program Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"Through the engagement of a highly qualified worker in a temporary capacity, the National Trails Office of the NPS can in a cost effective and efficient manner meet its mission goal of providing the public information and a means to engage with ten national historic trails and Route 66. This project will place an Experienced Services Program enrollee at the National Trails Office to assist in developing travel itineraries for up to ten national historic trails, developing content and selecting images for websites and social media posts, and creating other content to meet public needs.","Without funding, the public may lose access to updated, engaging travel resources, limiting awareness and appreciation of the nation’s historic trails and reducing opportunities for cultural education.","6/18/2026: NPS review complete. Ready for DOI review. 06/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2820 titled 'National Trails Office Cultural Resources Experienced Services Program Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",30984.00
1956,Disapproved,PWR,Pacific West,ORCA,Oregon Caves National Monument and Preserve,park unit,Oregon Caves National Monument and Preserve,42.1046,-123.4043,"THE STUDENT CONSERVATION ASSOCIATION, INC.",Guided Cave Interpretation Youth Internships at Oregon Caves National Monument and Preserve,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Oregon Caves National Monument and Preserve will train and employ four youth for a 12-week guided cave interpretation program. Participants will receive two weeks of training in cave science, safety, and public communication, followed by ten weeks of leading cave tours and offering educational support in the visitor center. They will help visitors understand the cave’s natural features while gaining hands-on skills for future work in earth sciences and public education. The project will produce trained youth guides, daily cave tours, visitor support, and enhanced public understanding of the park’s natural resources.","Without funding, Oregon Caves National Monument and Preserve will lose essential seasonal guides, reducing public cave tours and visitor support. Fewer youth will gain training and career experience, and visitors may have limited opportunities to learn about and safely explore the cave.","05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1956 titled 'Guided Cave Interpretation Youth Internships at Oregon Caves National Monument and Preserve,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",54854.97
2394,Disapproved,IMR,Intermountain,ORPI,Organ Pipe Cactus National Monument,park unit,Organ Pipe Cactus National Monument,32.0084,-112.8755,"The Student Conservation Association, Inc.",Resource Stewardship Youth Internships at Oregon Pipe Cactus National Monument,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Organ Pipe Cactus National Monument will support two youth interns, for 20 weeks each, who will help monitor, protect, and restore the park’s natural resources. One intern will assist with plant monitoring, invasive plant removal, native plant care, and landscape restoration. The second intern will support spring and channel monitoring, water quality checks, weather station upkeep, and other field measurements. Both interns will collect data using cameras, GPS, and tablets and will assist teams across several resource programs. The project will provide hands-on training while improving vegetation health, water quality, and restoration efforts.","Without funding, Organ Pipe Cactus National Monument will face delays in plant restoration, invasive species removal, and water quality monitoring. This would limit the park’s ability to protect sensitive habitats and reduce opportunities for young people to gain conservation skills.","06/03/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2394 titled 'Resource Stewardship Youth Internships at Organ Pipe Cactus National Monument,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",57467.74
2227,Disapproved,IMR,Intermountain,PETR,Petroglyph National Monument,park unit,Petroglyph National Monument,35.14,-106.7453,Archeology Southwest,Produce National Register Nomination for Petroglyph National Monument,15.945 Cooperative Research and Training Programs (CESU),Research and training (CESU),2026-08-07,"This project will develop a Traditional Cultural Place nomination for Petroglyph National Monument, documenting and evaluating the monument’s culturally significant landscape—including petroglyphs, archaeological sites, traditional trails, and natural features important to 29 associated pueblos and tribes. Through archival research, Tribal collaboration, field visits, and GIS-based documentation, the project will produce a complete National Register nomination that meets current guidelines and provides a foundation for long-term protection, preservation planning, and culturally informed stewardship. The final nomination will help guide management decisions and strengthen understanding of landscape change amid ongoing development pressures and fulfills NPS's obligations under Section 110 of the National Historic Preservation Act.","Without funding, essential cultural landscapes would remain undocumented or unevaluated, limiting the monument’s ability to make informed management decisions and to recognize Tribal perspectives in official records. Delayed documentation would hinder preservation planning for culturally significant places and slow progress toward a complete, accurate National Register nomination.","06/09/2026: Abstract edited. Ready for DOI review. 06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2227 titled 'Produce National Register Nomination for Petroglyph National Monument,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",169127.00
2625,Disapproved,PWR,Pacific West,PORE,Point Reyes National Seashore,park unit,Point Reyes National Seashore,38.0708,-122.9175,"National Experienced Workforce Solutions, Inc",Point Reyes National Seashore Experienced Services Program Freedom of Information Act Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"Provides Freedom of Information Act (FOIA) support for both NPS Interior Regions 8, 9, 10, 12 (PWR) and Point Reyes National Seashore (PORE) from two National Experienced Workforce (NEW) Solutions hires. Both Pacific West Region and Point Reyes National Seashore have an extraordinary FOIA workload and significant backlog of requests. NEW Solutions hires will assist with providing timely review to records and this assistance is critical to reducing the backlog, increasing transparency with the public, meeting required Freedom of Information Act timelines.","If the Freedom of Information Act (FOIA) processing award is not funded, park units within NPS Interior Regions 8, 9, 10, and 12 (PWR) and Point Reyes National Seashore (PORE) will face tangible negative impacts. The backlog of FOIA requests will likely increase, causing significant delays in responding to public inquiries. Without additional support, PWR and PORE will be unable to provide timely review of records, resulting in missed statutory deadlines and diminished transparency. Furthermore, the absence of dedicated FOIA support could strain existing personnel, leading to decreased efficiency and higher error rates in document processing. This may undermine public trust and expose the park units to potential legal challenges or reputational risk due to non-compliance with FOIA requirements.","6/30/2026: Project abstract and impact needs work. Abstract should clearly articulate the purpose and goal of the project, task, activities, and intended deliverables and outcomes. Impact should state tangible impacts to the park units if the award is not funded. 7/1/2026: NPS review complete. Ready for DOI review. 7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2625 titled 'Point Reyes National Seashore Experienced Services Program Freedom of Information Act Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",25000.00
1987,Disapproved,PWR,Pacific West,PWRO,Pacific West Regional Office,"office, program, or network","San Francisco, California",37.7963,-122.4009,"National Experienced Workforce Solutions, Inc.",Pacific West Regional Office (PWRO) Preservation Partnerships Program Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will engage an experienced historical architect to provide technical support for Preservation Partnership Program tasks including document review, consultation, monitoring, assessment, research, and writing. The project ensures timely and professional completion of technical assistance activities in support of the National Historic Landmarks Program, the Heritage Documentation Programs, and historic property transfers under the National Historic Lighthouse Preservation Act and Historic Surplus Property Program.",The project ensures that the Regional Office Preservation Partnerships Program can efficiently and effectively serve the public and support NPS in fulfilling its responsibilities in administering national historic preservation programs as directed by the National Historic Preservation Act.,"05/07/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1987 titled 'Pacific West Regional Office (PWRO) Preservation Partnerships Program Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",94650.00
2018,Disapproved,PWR,Pacific West,PWRO,Pacific West Regional Office,"office, program, or network","San Francisco, California",37.7963,-122.4009,The Great Basin Institute,"Cultural Resources Data Management Internship, Pacific West Region",15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"The Recipient and National Park Service staff will work together to create an internship, which will focus on supporting the preservation of cultural resources in parks in the Pacific West Region, fulfilling requirements under the National Historic Preservation Act, 54 USC 300101 et seq. The intern will participate in such activities as collection of inventory data, GPS data collection, preparing GIS data, writing standardized narrative descriptions, photos, and mapping products for inclusion in databases.","Without funding, valuable historical resources may deteriorate, and opportunities for youth engagement in conservation will be lost, jeopardizing cultural heritage and community identity. Project will not be completed and cultural resource facilities and objects will be at risk for deterioration or destruction.","06/01/2026: Abstract edited. Ready for review. 06/03/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2018 titled 'Cultural Resources Data Management Internship, Pacific West Region,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",92849.62
2207,Disapproved,PWR,Pacific West,PWRO,Pacific West Regional Office,"office, program, or network","San Francisco, California",37.7963,-122.4009,"The Student Conservation Association, Inc.",Conserving Pacific Island Corals from Ridge to Reef,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project will place two youth interns for 29 weeks to support coral reef conservation at four Pacific Island parks: Kalaupapa National Historical Park, Kaloko-Honokōhau National Historical Park, National Park of American Samoa, and War in the Pacific National Historical Park. Youth interns will help restore coral reefs and improve nearby land habitats by conducting underwater surveys, controlling invasive species, planting native vegetation, and supporting water and habitat monitoring. They will also assist with ongoing ecosystem surveys and restoration needs. The project will deliver healthier reefs and landscapes, expanded conservation capacity, and hands-on training for participating youth.","Without funding, coral reef conditions will continue to decline, invasive species will expand, and parks will lack the staff needed to protect vulnerable ecosystems. Delays in monitoring and restoration could lead to permanent habitat loss and reduced long-term reef health.","6/2/2026: NPS review complete. Ready for DOI review. 06/03/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2207 titled 'Conserving Pacific Island Corals from Ridge to Reef,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",73545.95
2647,Disapproved,PWR,Pacific West,PWRO,Pacific West Regional Office,"office, program, or network","San Francisco, California",37.7963,-122.4009,"National Experienced Workforce Solutions, Inc.",Contaminated Sites Environmental Protection Specialist,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"The Recipient will provide an enrollee under the Experienced Services Program (ESP) with in-depth knowledge of Federal and California hazardous waste regulations to support contaminated site investigation and cleanup projects in Yosemite National Park. The National Park Service (NPS) is operating under a Consent Decree with the State of California, which requires NPS to investigate and remediate identified hazardous waste sites within the park. This project focuses on the three largest and most complex sites: the Cascades Former Wood Treatment Site, the El Capitan Former Waste Disposal Area, and the Curry Landfill. The selected ESP enrollee will conduct site assessments and characterize hazardous waste areas, collect and analyze soil, water, and air samples for contamination, prepare regulatory compliance documentation and reports, assist with developing and implementing cleanup plans, coordinate with regulatory agencies and stakeholders, monitor ongoing remediation activities, and ensure adherence to safety and environmental standards.","Experienced worker services are critical to completing the field implementation, construction, and close-out of cleanup projects regulated under the Comprehensive Environmental Response, Compensation, and Liability Act. Yosemite National Park is in an enforceable Consent Agreement with the State of California, and delays in completion could result in financial penalties.","06/09/2026: Updates needed to abstract. The abstract starts with an incomplete sentence. Please revise abstract so that sentences are complete and list the tasks the ESP enrollee will be completing. 06/16/2026: Abstract edited; ready for DOI review. 06/17/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2647 titled 'Contaminated Sites Environmental Protection Specialist,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",98397.00
